Longitud,Latitud,Elevacion
-71.99505544365383,-13.51743810101667,3539.0
-71.9950186602295,-13.51745518184775,3539.0
-71.99497515558986,-13.51745922452462,3539.0
-71.99494665658844,-13.51746501685263,3539.0
-71.9949230727257,-13.51746396318809,3539.0
-71.99489597348821,-13.51746775730627,3539.0
-71.99486521568728,-13.51747660099559,3539.0
-71.99483813399866,-13.51748039206023,3539.0
-71.99481276109074,-13.51749301513067,3539.0
-71.99478399452431,-13.51748797024835,3539.0
-71.9947510392925,-13.51750031965752,3539.0
-71.99472373669464,-13.51751605706195,3539.0
-71.99469649492917,-13.51753176041827,3539.0
-71.99466356640896,-13.51754431732041,3539.0
-71.99463645723453,-13.51755995078242,3539.0
-71.994617196058,-13.51756464589905,3539.0
-71.99459018794794,-13.51758022869093,3539.0
-71.99455753451332,-13.5175926707568,3539.0
-71.99452496466694,-13.51760508096128,3539.0
-71.99450201188588,-13.51761514331373,3539.0
-71.99446958411066,-13.51762749783562,3539.0
-71.99443723883934,-13.51763982068905,3539.0
-71.99440606522457,-13.51765019249096,3539.0
-71.99437866016119,-13.51765531568489,3539.0
-71.99435684919757,-13.51766365691137,3539.0
-71.99432594411903,-13.51767369236335,3539.0
-71.99429307888107,-13.51767557240941,3539.0
-71.99426535630501,-13.51765947546894,3539.0
-71.99423766984678,-13.51764339962094,3539.0
-71.99422107521177,-13.51763376428215,3539.0
-71.9941934465521,-13.51761772207749,3539.0
-71.99416585373004,-13.5176016998798,3539.0
-71.99414931486821,-13.51759209738984,3539.0
-71.99411627670091,-13.51757291405151,3539.0
-71.99409625337653,-13.5175682384339,3539.0
-71.99408235614642,-13.51756541455169,3539.0
-71.99405092265937,-13.51754287749407,3539.0
-71.99402996068366,-13.51752784798713,3539.0
-71.99400375017632,-13.51750905540475,3539.0
-71.99397753121056,-13.51749025662753,3539.0
-71.99394081067028,-13.51746392881869,3539.0
-71.99392318813943,-13.51744433585691,3539.0
-71.99390031381822,-13.51742097566535,3539.0
-71.99388942487252,-13.51739229194783,3539.0
-71.99387328613372,-13.51735984343757,3539.0
-71.9938571471533,-13.5173273938325,3539.0
-71.99383426233258,-13.51730401733474,3539.0
-71.99382022593338,-13.51727922849655,3539.0
-71.99381140759314,-13.5172582892654,3539.0
-71.99380600575476,-13.51723268281051,3539.0
-71.9937867398444,-13.51720397391548,3539.0
-71.99377610903444,-13.51717446903054,3539.0
-71.99376205266113,-13.517149615693,3539.0
-71.99374798984338,-13.5171247516732,3509.0
-71.9937339213173,-13.51709987740448,3509.0
-71.99371984774513,-13.51707499344214,3509.0
-71.99370395967863,-13.51704154029522,3509.0
-71.99368987269303,-13.51701663278878,3509.0
-71.99367578049583,-13.51699171451169,3509.0
-71.99365825327844,-13.51697145282584,3509.0
-71.99364071861572,-13.51695118181508,3509.0
